标题,价格,面积,装修,类型,小区,小区名称,行政区,社区
桐梓林科华路家乐福 24h门禁可养宠物 可短租押一付一,2735,35平方米,精装修,公寓,嘉云台>武侯>桐梓林,嘉云台,武侯,桐梓林
江安河新居 0中介 品牌公寓十分安心 电梯套一 数量少 抢手,1677,38平方米,精装修,公寓,江安河新居>武侯>簇桥,江安河新居,武侯,簇桥
年底大优惠 0中介可月付  阳台房  临2号线一品天下,1642,35平方米,精装修,公寓,华夏之家>金牛>蜀汉路,华夏之家,金牛,蜀汉路
品牌公寓限时特惠可月租免空调费0中介近地铁市中心,2045,36平方米,精装修,公寓,富力史丹尼国际公寓>青羊>天府广场,富力史丹尼国际公寓,青羊,天府广场
价格真实 民用水电 绿色环保立即入住 无中介 地铁口万达旁,1710,32平方米,精装修,公寓,时尚青年城>青羊>外光华,时尚青年城,青羊,外光华
可短租可月付！！0中介 精装修阳台房 近地铁,1699,35平方米,精装修,公寓,安蓉路3号院>金牛>茶店子,安蓉路3号院,金牛,茶店子
川大 川音 九眼桥标间 设施齐全 特价房,1500,35平方米,简单装修,公寓,好望角商业文化广场>武侯>好望角,好望角商业文化广场,武侯,好望角
可短租 可月付 近鹏瑞利广场 中坝地铁口  拎包入住,1723,28平方米,精装修,公寓,光华揽胜>青羊>内光华,光华揽胜,青羊,内光华
整租套一 0中介 秀城嘉园 近白果林2号线 限时特惠,1677,34平方米,精装修,公寓,秀城嘉园>金牛>白果林,秀城嘉园,金牛,白果林
康郡(南区) 1室0厅1卫 1500元月 配套齐全,1500,45平方米,精装修,公寓,康郡(南区)>锦江>成仁路,康郡(南区),锦江,成仁路
年前钜惠无中介免空调费近地铁市中心透明房价市中心青羊区,2099,36平方米,精装修,公寓,鼓楼世家>青羊>天府广场,鼓楼世家,青羊,天府广场
0中介拒绝包租公司！租期灵活 地铁口可月付精装公寓,2099,38平方米,精装修,公寓,春熙商汇广场>锦江>春熙路,春熙商汇广场,锦江,春熙路
签约返现整租近339九眼桥水碾河可短租月付0中介J,1789,35平方米,精装修,公寓,猛追湾东街2号院>成华>猛追湾,猛追湾东街2号院,成华,猛追湾
公司租房特惠 可月租免空调费 0中介 整租套一可月付近地铁,2099,36平方米,精装修,公寓,富力史丹尼国际公寓>青羊>天府广场,富力史丹尼国际公寓,青羊,天府广场
实图实图华西医院急诊旁凯蒂阳光精装温馨标间出租可短租可月付,1900,40平方米,精装修,普通住宅,凯蒂阳光>武侯>小天竺街,凯蒂阳光,武侯,小天竺街
首信首御 精装修 品牌公寓直租 无中介 可月付 免费健身,1658,38平方米,精装修,公寓,首信首御>武侯>外双楠,首信首御,武侯,外双楠
学生立减500！可月付无中介忆高地中心  全天安保B,1799,35平方米,精装修,普通住宅,中房红枫岭(三期)>成华>建设路,中房红枫岭(三期),成华,建设路
川大 住梦计划精装loft拎包入住可月付 企客优惠,2780,36平方米,精装修,公寓,蓝色加勒比广场>武侯>川大,蓝色加勒比广场,武侯,川大
长租优惠！可月租0中介免空调费采光好品牌公寓,2099,36平方米,精装修,公寓,鼓楼世家>青羊>天府广场,鼓楼世家,青羊,天府广场
开业活动价！ 独门独卫 电梯房  智能门锁 阳光房,1719,33平方米,精装修,公寓,红牌楼广场>武侯>红牌楼,红牌楼广场,武侯,红牌楼
0中介 可短租月付 地铁口旁 交通便利 智能门锁 拎包入住,1710,30平方米,精装修,公寓,青羊万达广场>青羊>外光华,青羊万达广场,青羊,外光华
临地铁 一月起租 无中介 可月付 可短租 送网费 整租套一,2295,38平方米,精装修,公寓,恒大都汇华庭>锦江>春熙路,恒大都汇华庭,锦江,春熙路
无中介 花牌坊地铁口急租 1月起租真实精装修公寓 拎包入住,1699,36平方米,简单装修,公寓,中铁鹭岛艺术城>金牛>花牌坊,中铁鹭岛艺术城,金牛,花牌坊
0中介！包空调费 双11短租特惠 整租一居室近地铁商圈繁华,2099,30平方米,精装修,公寓,时代凯悦>青羊>八宝街,时代凯悦,青羊,八宝街
花牌坊地铁站！营门口 抚琴 无中介月付 免费健身 可短租,1699,35平方米,精装修,公寓,曦城>金牛>花牌坊,曦城,金牛,花牌坊
价格真实 绿色环保 民用水电 拎包入住 无中介中坝地铁口,1710,35平方米,精装修,公寓,中坝小区>青羊>外光华,中坝小区,青羊,外光华
万科天荟套一整租  东郊记忆公园 理工大学地铁 实图 实价！,2000,38平方米,精装修,公寓,万科天荟>成华>杉板桥,万科天荟,成华,杉板桥
整租套一全天安保 无中介直租 免费健身房 拎包入住,1699,35平方米,精装修,公寓,华宇西城雅郡>金牛>茶店子,华宇西城雅郡,金牛,茶店子
川大住梦计划 无中介！可月付精装修含家电拎包入住 24h安保,2781,35平方米,精装修,公寓,新南村>武侯>川大,新南村,武侯,川大
华侨城 欢乐谷 交大沃尔玛 金府SOHO 精装通气标间 随看,1450,50平方米,精装修,普通住宅,金府SOHO>金牛>九里堤,金府SOHO,金牛,九里堤
0中介不合租 双地铁 交通方便 精装套一 入住保洁 拎包入住,1621,29平方米,精装修,公寓,七里小区(二期)>武侯>簇桥,七里小区(二期),武侯,簇桥
地铁口精装特价房 无中介 家具齐全拎包入住 24h安保,1761,35平方米,精装修,公寓,成都A区>武侯>高升桥,成都A区,武侯,高升桥
12月特惠 一品天下精装套一公寓直租,1699,36平方米,精装修,公寓,城市博客阳光里>金牛>一品天下,城市博客阳光里,金牛,一品天下
花牌坊 花都财富大厦 精装套一 随时看房 拎包入住 免费健身,1730,36平方米,简单装修,公寓,花都财富大厦>金牛>花牌坊,花都财富大厦,金牛,花牌坊
双12特惠！抢! 0中介！1月起租 近春熙路  免空调电费,2099,36平方米,精装修,公寓,城市理想>锦江>盐市口,城市理想,锦江,盐市口
无中介 押一付一 东郊记忆 s m广场 地铁7号线沿线D,1760,35平方米,精装修,公寓,民兴南苑>成华>二仙桥,民兴南苑,成华,二仙桥
0中介 整租妇女儿童医院公寓 拎包入住 中坝地铁 商业中心,1623,30平方米,精装修,公寓,东原时光道>青羊>万家湾,东原时光道,青羊,万家湾
冬季特惠 市中心地铁口可月租可月付 限时特惠 手慢无,2099,35平方米,精装修,公寓,蓝光香槟广场>锦江>春熙路,蓝光香槟广场,锦江,春熙路
可短租 可月付 押一付一 无中介 独栋公寓精装修,2294,38平方米,精装修,公寓,恒大广场>青羊>天府广场,恒大广场,青羊,天府广场
0中介 押一付一 家电齐全 总部经济基地  青羊万达广场,1723,30平方米,精装修,公寓,青羊万达广场>青羊>外光华,青羊万达广场,青羊,外光华
无中介 科华路 1号线 精装修拎包入户 免费健身 24h安保,2701,35平方米,精装修,公寓,绿地GIC成都中央广场(二期)>武侯>科华路,绿地GIC成都中央广场(二期),武侯,科华路
双十二特惠！品牌租房诚信可靠可短租 整租套一 5号线,1677,32平方米,精装修,公寓,浣花新城>青羊>浣花小区,浣花新城,青羊,浣花小区
精装修 月付无中介 龙湖北城天街 地铁5号线五块石站,1500,45平方米,精装修,普通住宅,蓝光中央天地>金牛>五块石,蓝光中央天地,金牛,五块石
冬季特惠！包空调0中介月租 中央空调开放 培训出差拎包入住,2435,36平方米,精装修,公寓,时代凯悦>青羊>八宝街,时代凯悦,青羊,八宝街
限时折扣！0中介开发商直租 租期灵活月付 地铁口电梯公寓,2099,36平方米,精装修,公寓,城市理想>锦江>盐市口,城市理想,锦江,盐市口
精装阳台房   可短租可月付 0中介 简约精装,1699,35平方米,精装修,公寓,金璐天下>金牛>茶店子,金璐天下,金牛,茶店子
月初特惠！免空调费！长租实惠！0中介！,2199,36平方米,精装修,公寓,春熙商汇广场>锦江>春熙路,春熙商汇广场,锦江,春熙路
0中介可短租可月付！ 拎包入住 家电家具全配 近地铁公交站,1620,35平方米,精装修,公寓,保利香槟国际>高新西区>百草路,保利香槟国际,高新西区,百草路
不合租 无中介 家电齐全 妇女儿童医月付 拎包入住 中坝地铁,1710,35平方米,精装修,公寓,蓝光SOFA社区>青羊>万家湾,蓝光SOFA社区,青羊,万家湾
双12特惠可月租无中介免空调费年轻公寓健身房台球桌,2099,36平方米,精装修,公寓,富力史丹尼国际公寓>青羊>天府广场,富力史丹尼国际公寓,青羊,天府广场
学生特惠！可短租！0中介东郊记忆理工大sm广场 精装带飘窗A,1788,35平方米,精装修,公寓,万科金色乐府(商住楼)>成华>杉板桥,万科金色乐府(商住楼),成华,杉板桥
限时短租房 龙湖西宸天街 茶店子地铁口 0中介可短租拎包入住,1779,35平方米,精装修,公寓,龙湖西宸天街(商住楼)>金牛>茶店子,龙湖西宸天街(商住楼),金牛,茶店子
学生立减500！0中介可短租 快速公交直达建设路附近 D,1790,35平方米,精装修,公寓,中国铁建广场>成华>二仙桥,中国铁建广场,成华,二仙桥
特价 临三号线地铁 品牌公寓 无中介 可短租可月付 精装套一,1629,35平方米,精装修,公寓,高碑瑞苑A区>武侯>外双楠,高碑瑞苑A区,武侯,外双楠
12月特惠包空调 0中介 可月付可月租 城市中心双地铁环绕,2160,28平方米,精装修,公寓,新和春禧时代>锦江>盐市口,新和春禧时代,锦江,盐市口
无中介月付金牛万达  五块石 地铁出口旁 龙湖北城天街商圈,1250,35平方米,精装修,公寓,蓝光中央天地>金牛>五块石,蓝光中央天地,金牛,五块石
真实位置！0中介月租 学生折扣 拎包入住包中央空调电梯公寓,2099,36平方米,精装修,公寓,罗马国际>青羊>文殊坊,罗马国际,青羊,文殊坊
0中介实拍！龙湖品牌旗下 长租公寓 不贷款不跑路 押一付一,1799,36平方米,精装修,公寓,时代凯悦>青羊>八宝街,时代凯悦,青羊,八宝街
无中介可月付 三号线 可月租 毕业活动 拎包入住 品牌可靠,1688,38平方米,精装修,公寓,首信红星国际广场>武侯>簇桥,首信红星国际广场,武侯,簇桥
近二号线 简约精装 24h安保 干净舒适 拎包入住,1672,35平方米,精装修,公寓,千和馨城>金牛>蜀汉路,千和馨城,金牛,蜀汉路
近红牌楼 不合租 无中介 可短租 可月付 3号线地铁口旁,1720,35平方米,精装修,公寓,红牌楼广场>武侯>红牌楼,红牌楼广场,武侯,红牌楼
0中介物业直租 感恩节特惠 白果林地铁旁 毛戈平学校,1677,35平方米,精装修,公寓,白果林小区>金牛>白果林,白果林小区,金牛,白果林
精装北欧风公寓！免网费!免空调！ 0中介！ 租期灵活,2099,35平方米,精装修,公寓,皇城公寓>锦江>盐市口,皇城公寓,锦江,盐市口
钢五区三楼标间全装全配房屋干净舒适生活交通便利,1100,32.6平方米,简单装修,普通住宅,东桂苑>锦江>海椒市,东桂苑,锦江,海椒市
桐梓林科华北路火车南站肿瘤医院家乐福 非包租近川大 可月付,2257,25平方米,精装修,公寓,锦官新城西区>武侯>桐梓林,锦官新城西区,武侯,桐梓林
0中介白果林特惠房！毛戈平学校 近地铁5号线 可短租,1699,35平方米,简单装修,公寓,秀城嘉园>金牛>白果林,秀城嘉园,金牛,白果林
公寓直租 品质房源 精装套一  随时看房 0中介,1699,36平方米,精装修,公寓,百寿路2号院>金牛>白果林,百寿路2号院,金牛,白果林
市中心 近1号线地铁 无中介 领包入住 24h管家式服务,2198,38平方米,精装修,公寓,天盛壹中心>青羊>文殊坊,天盛壹中心,青羊,文殊坊
0中介可短租可月付 临近地铁 全新家电 拎包入住,1642,36平方米,精装修,公寓,府河星城馨苑>金牛>欢乐谷,府河星城馨苑,金牛,欢乐谷
双十二狂欢无中介 套一整租 家电全新 直接拎包入住 免费健身,1699,36平方米,精装修,公寓,西巢小筑>金牛>花牌坊,西巢小筑,金牛,花牌坊
非包租月付无压力 科华路1号线 0中介24h安保可健身,2297,25平方米,精装修,公寓,中海翠屏湾>武侯>火车南站,中海翠屏湾,武侯,火车南站
急租空港四路龙湖小区精装套一家具家电齐全拎包入住实图实价,1100,50平方米,精装修,普通住宅,龙湖小区一期>双流>文星,龙湖小区一期,双流,文星
短租特惠房！拎包即可入住 0中介 可月付 可短租,1620,33平方米,精装修,公寓,上层建筑>金牛>蜀汉路,上层建筑,金牛,蜀汉路
无中介急租！优惠！龙湖西宸天街 地铁口 0中介可短租拎包入住,2100,35平方米,精装修,公寓,龙湖西宸天街(商住楼)>金牛>茶店子,龙湖西宸天街(商住楼),金牛,茶店子
月初限时特惠0中介可月租免空调费品牌公寓热情服务,2099,36平方米,精装修,公寓,新世纪广场>青羊>文殊坊,新世纪广场,青羊,文殊坊
企业租房特惠 0中介 临近地铁 精装套一 全新家电 拎包入住,1699,36平方米,精装修,公寓,龙湖西宸天街(商住楼)>金牛>茶店子,龙湖西宸天街(商住楼),金牛,茶店子
无中介月付！双节特惠！精装修拎包入住 可健身 24h安保,1625,35平方米,精装修,普通住宅,保利国宾首府一期>金牛>茶店子,保利国宾首府一期,金牛,茶店子
龙湖直租！无中介 可月付 安全可靠 5号线地铁 出行便利,1699,32平方米,精装修,公寓,贝多小屋>金牛>沙湾,贝多小屋,金牛,沙湾
无中介 包空调可短租押一付一临地铁长签返利独栋公寓精装修,2099,38平方米,精装修,公寓,鼓楼世家>青羊>天府广场,鼓楼世家,青羊,天府广场
抢短租特惠房！0中介 可月付 精装修 拎包入住 交通便利,1645,45平方米,精装修,公寓,西西里二期公园前>金牛>茶店子,西西里二期公园前,金牛,茶店子
营门口 0中介双十一特惠房 地铁站旁 押一付一 24h安保,1699,38平方米,精装修,公寓,沙河云景湾>金牛>营门口,沙河云景湾,金牛,营门口
学生立减500！0中介可月租 直达理工大 拎包入住可短租D,1789,35平方米,精装修,公寓,罗兰小镇>成华>二仙桥,罗兰小镇,成华,二仙桥
0中介 可月付短租 拎包入住 家电家具全配 近地铁公交站,1630,38平方米,精装修,公寓,中环西岸观邸>金牛>国宾,中环西岸观邸,金牛,国宾
不合租 无中介 可短租月付 地铁口旁 观景落地窗 拎包入住,1637,32平方米,精装修,公寓,培风小区(东区)>青羊>外光华,培风小区(东区),青羊,外光华
